timestamp(ms),rx1 ,rx2 ,rx3 ,rx4 ,rx5 ,rx6 ,rx7 ,rx8 ,
"1712614903.575",,,"1464","1464","1052","1416",,,
"1712614903.576",,,,,,,"1608","1508",
"1712614903.596","1460","1064",,,,,,,
"1712614903.597",,,"1464","1464","1052",,,,
"1712614903.598",,,,,,"1416","1608","1508",
"1712614903.618","1460",,,,,,,,
"1712614903.619",,"1064","1464","1464","1052",,,,
"1712614903.62",,,,,,"1416","1608","1508",
"1712614903.641","1460","1064","1464","1464",,,,,
"1712614903.642",,,,,"1048","1420","1608","1508",
"1712614903.663","1460","1064","1464",,,,,,
"1712614903.664",,,,"1464","1048","1420","1608",,
"1712614903.665",,,,,,,,"1508",
"1712614903.685","1460","1064","1464",,,,,,
"1712614903.686",,,,"1468","1048","1416",,,
"1712614903.687",,,,,,,"1608","1508",
"1712614903.707","1460","1068",,,,,,,
"1712614903.708",,,"1464","1464","1052",,,,
"1712614903.709",,,,,,"1416","1608","1508",
"1712614903.729","1460",,,,,,,,
"1712614903.73",,"1068","1460","1468","1048",,,,
"1712614903.731",,,,,,"1420","1604","1508",
"1712614903.752","1456","1068","1460","1468",,,,,
"1712614903.753",,,,,"1048","1420","1604","1508",
"1712614903.774","1456","1068","1464",,,,,,
"1712614903.775",,,,"1464","1048","1420","1608",,
"1712614903.776",,,,,,,,"1508",
"1712614903.796","1460","1068","1464",,,,,,
"1712614903.797",,,,"1464","1048","1420",,,
"1712614903.798",,,,,,,"1604","1512",
"1712614903.818","1460","1068",,,,,,,
"1712614903.819",,,"1464","1464","1048","1420",,,
"1712614903.82",,,,,,,"1604","1508",
"1712614903.84","1456",,,,,,,,
"1712614903.841",,"1068","1464","1464","1048",,,,
"1712614903.842",,,,,,"1420","1608","1508",
"1712614903.863","1464","1064","1464","1464",,,,,
"1712614903.864",,,,,"1048","1420","1608","1508",
"1712614903.885","1460","1068","1464",,,,,,
"1712614903.886",,,,"1464","1048","1420","1604",,
"1712614903.887",,,,,,,,"1508",
"1712614903.907","1460","1064","1464",,,,,,
"1712614903.908",,,,"1464","1048","1420",,,
"1712614903.909",,,,,,,"1608","1508",
"1712614903.929","1460","1068",,,,,,,
"1712614903.93",,,"1460","1468","1048","1416",,,
"1712614903.931",,,,,,,"1608","1508",
"1712614903.951","1460",,,,,,,,
"1712614903.952",,"1064","1464","1464","1048",,,,
"1712614903.953",,,,,,"1420","1608","1508",
"1712614903.973","1460",,,,,,,,
"1712614903.974",,"1064","1464","1468",,,,,
"1712614903.975",,,,,"1048","1416","1608","1508",
"1712614903.996","1460","1068","1464","1464",,,,,
"1712614903.997",,,,,"1048","1420","1604",,
"1712614903.998",,,,,,,,"1508",
"1712614904.018","1460","1064","1464",,,,,,
"1712614904.019",,,,"1464","1052","1416",,,
"1712614904.02",,,,,,,"1608","1508",
"1712614904.04","1460","1064",,,,,,,
"1712614904.041",,,"1464","1464","1052","1416",,,
"1712614904.042",,,,,,,"1608","1508",
"1712614904.062","1460",,,,,,,,
"1712614904.063",,"1064","1464","1468","1048",,,,
"1712614904.064",,,,,,"1416","1608","1508",
"1712614904.084","1460",,,,,,,,
"1712614904.085",,"1068","1464","1464",,,,,
"1712614904.086",,,,,"1048","1420","1608","1508",
"1712614904.107","1460","1064","1464","1464",,,,,
"1712614904.108",,,,,"1052","1416","1608",,
"1712614904.109",,,,,,,,"1508",
"1712614904.129","1460","1068","1460",,,,,,
"1712614904.13",,,,"1468","1048","1420",,,
"1712614904.131",,,,,,,"1604","1508",
"1712614904.151","1456","1068",,,,,,,
"1712614904.152",,,"1464","1464","1048","1420",,,
"1712614904.153",,,,,,,"1608","1508",
"1712614904.173","1460",,,,,,,,
"1712614904.174",,"1068","1460","1468","1048",,,,
"1712614904.175",,,,,,"1416","1608","1508",
"1712614904.195","1460",,,,,,,,
"1712614904.196",,"1068","1464","1464",,,,,
"1712614904.197",,,,,"1048","1420","1608","1508",
"1712614904.218","1460","1064","1464",,,,,,
"1712614904.219",,,,"1464","1048","1420","1608",,
"1712614904.22",,,,,,,,"1508",
"1712614904.24","1460","1064","1464",,,,,,
"1712614904.241",,,,"1464","1048","1420",,,
"1712614904.242",,,,,,,"1604","1508",
"1712614904.262","1456","1068",,,,,,,
"1712614904.263",,,"1464","1464","1048",,,,
"1712614904.264",,,,,,"1420","1604","1508",
"1712614904.284","1456",,,,,,,,
"1712614904.285",,"1068","1464","1464","1048",,,,
"1712614904.286",,,,,,"1420","1608","1508",
"1712614904.307","1460","1068","1460","1468",,,,,
"1712614904.308",,,,,"1048","1420","1608",,
"1712614904.309",,,,,,,,"1508",
"1712614904.329","1460","1068","1464",,,,,,
"1712614904.33",,,,"1464","1048","1420","1604",,
"1712614904.331",,,,,,,,"1508",
"1712614904.351","1456","1068",,,,,,,
"1712614904.352",,,"1464","1464","1052","1416",,,
"1712614904.353",,,,,,,"1608","1512",
"1712614904.373","1460",,,,,,,,
"1712614904.374",,"1068","1460","1468","1048",,,,
"1712614904.375",,,,,,"1420","1604","1508",
"1712614904.395","1456",,,,,,,,
"1712614904.396",,"1068","1460","1468",,,,,
"1712614904.397",,,,,"1048","1416","1608","1508",
"1712614904.418","1460","1064","1464",,,,,,
"1712614904.419",,,,"1468","1048","1416","1608",,
"1712614904.42",,,,,,,,"1508",
"1712614904.44","1460","1064","1464",,,,,,
"1712614904.441",,,,"1468","1048","1416",,,
"1712614904.442",,,,,,,"1608","1508",
"1712614904.462","1456","1068",,,,,,,
"1712614904.463",,,"1464","1464","1052",,,,
"1712614904.464",,,,,,"1420","1604","1508",
"1712614904.484","1460",,,,,,,,
"1712614904.485",,"1064","1460","1468","1048",,,,
"1712614904.486",,,,,,"1420","1608","1508",
"1712614904.507","1456","1068","1464","1468",,,,,
"1712614904.508",,,,,"1048","1416","1612",,
"1712614904.509",,,,,,,,"1504",
"1712614904.529","1460","1068","1464",,,,,,
"1712614904.53",,,,"1464","1052","1416","1608",,
"1712614904.531",,,,,,,,"1508",
"1712614904.551","1456","1064",,,,,,,
"1712614904.552",,,"1464","1468","1048","1416",,,
"1712614904.553",,,,,,,"1608","1508",
"1712614904.573","1460",,,,,,,,
"1712614904.574",,"1064","1464","1464","1052",,,,
"1712614904.575",,,,,,"1416","1608","1508",
"1712614904.595","1460",,,,,,,,
"1712614904.596",,"1064","1464","1464",,,,,
"1712614904.597",,,,,"1052","1416","1608","1508",
"1712614904.618","1460","1064","1464","1464",,,,,
"1712614904.619",,,,,"1052","1416","1608",,
"1712614904.62",,,,,,,,"1508",
"1712614904.64","1460","1064","1464",,,,,,
"1712614904.641",,,,"1476","1040","1416",,,
"1712614904.642",,,,,,,"1608","1508",
"1712614904.662","1460","1064",,,,,,,
"1712614904.663",,,"1464","1468","1048",,,,
"1712614904.664",,,,,,"1416","1608","1508",
"1712614904.684","1460",,,,,,,,
"1712614904.685",,"1064","1464","1468","1048",,,,
"1712614904.686",,,,,,"1416","1608","1508",
"1712614904.707","1460","1068","1460","1468",,,,,
"1712614904.708",,,,,"1048","1416","1608","1508",
"1712614904.729","1460","1068","1460",,,,,,
"1712614904.73",,,,"1468","1048","1416","1608",,
"1712614904.731",,,,,,,,"1508",
"1712614904.751","1460","1068",,,,,,,
"1712614904.752",,,"1460","1468","1048","1420",,,
"1712614904.753",,,,,,,"1604","1508",
"1712614904.773","1460",,,,,,,,
"1712614904.774",,"1068","1460","1468","1048",,,,
"1712614904.775",,,,,,"1420","1604","1508",
"1712614904.795","1456",,,,,,,,
"1712614904.796",,"1068","1464","1464",,,,,
"1712614904.797",,,,,"1048","1420","1604","1508",
"1712614904.818","1456","1068","1464","1464",,,,,
"1712614904.819",,,,,"1048","1420","1604",,
"1712614904.82",,,,,,,,"1508",
"1712614904.84","1456","1068","1464",,,,,,
"1712614904.841",,,,"1464","1048","1420",,,
"1712614904.842",,,,,,,"1604","1508",
"1712614904.862","1456","1068",,,,,,,
"1712614904.863",,,"1464","1464","1048","1420",,,
"1712614904.864",,,,,,,"1604","1516",
"1712614904.884","1460",,,,,,,,
"1712614904.885",,"1068","1460","1464","1052",,,,
